Coursera User IDs,
ni-001,friendsmoneybytes-002
1,1
2,2
3,3
4,4
1065,14
1152,20
1225,1065
1523,1225
1531,1402
1550,1523
1569,1566
1582,1622
1598,1624
1622,1698
1626,1708
1627,1728
1653,1746
1708,1761
1724,1814
1726,1819
1728,1855
1741,1869
1749,1878
1790,1928
1814,1932
1824,1936
1850,1942
1856,2002
1867,2031
1933,2066
1936,2067
1942,2077
1945,2080
2031,2107
2046,2117
2067,2118
2107,2158
2207,2191
2214,2207
2255,2322
2260,2324
2362,2364
2364,2490
2369,2495
2403,2563
2414,2632
2424,2635
2430,2708
2488,2763
2490,2811
2495,2819
2632,2821
2635,2833
2669,2899
2686,2902
2752,2921
2759,2959
2763,3045
2833,3056
2841,3107
2861,3108
2866,3134
2899,3206
2902,3252
2903,3275
2921,3303
2959,3313
3056,3409
3107,3414
3108,3428
3109,3475
3134,3504
3206,3551
3216,3572
3229,3637
3275,3643
3302,3680
3312,3692
3342,3703
3386,3774
3395,3776
3428,3785
3433,3919
3434,3930
3436,3937
3463,3945
3486,4017
3504,4096
3524,4109
3528,4121
3562,4165
3567,4303
3619,4364
3637,4428
3703,4509
3770,4519
3776,4547
3836,4594
3855,4611
3898,4615
3945,4628
4002,4676
4008,4732
4075,4818
4109,4856
4117,4881
4165,4920
4269,4970
4291,5094
4357,5103
4377,5104
4433,5178
4468,5242
4499,5334
4512,5422
4547,5442
4594,5458
4611,5475
4623,5492
4670,5562
4726,5570
4755,5609
4756,5637
4783,5647
4818,5661
4821,5701
4849,5767
4853,5860
4856,5893
4881,5963
4958,6027
4967,6034
4970,6051
5002,6150
5104,6174
5178,6190
5273,6353
5280,6506
5376,6573
5412,6580
5440,6601
5442,6693
5465,6735
5489,6831
5492,6850
5503,6880
5532,6893
5540,6920
5549,6961
5559,6980
5566,7136
5570,7153
5624,7154
5647,7160
5661,7165
5664,7181
5669,7183
5708,7198
5742,7218
5767,7234
5805,7247
5824,7462
5884,7478
5967,7488
6021,7675
6077,7727
6078,7789
6152,7795
6171,7817
6174,7829
6190,7891
6249,8010
6261,8036
6283,8091
6337,8111
6353,8190
6368,8227
6372,8252
6397,8261
6423,8266
6435,8277
6560,8281
6580,8306
6671,8328
6693,8331
6741,8402
6751,8468
6755,8515
6757,8530
6763,8532
6794,8554
6808,8584
6816,8638
6823,8684
6826,8693
6891,8727
6932,8785
6980,8797
7020,8836
7055,8915
7141,9028
7153,9189
7165,9192
7174,9278
7181,9521
7183,9594
7203,9699
7234,9832
7270,9849
7295,9887
7298,9911
7375,9922
7383,9947
7393,9966
7394,10016
7397,10023
7400,10045
7435,10136
7488,10217
7489,10246
7656,10247
7675,10285
7719,10309
7734,10395
7770,10426
7810,10448
7817,10459
7849,10489
7891,10575
8062,10619
8088,10637
8091,10645
8200,10653
8212,10657
8230,10680
8287,10706
8298,10760
8331,10771
8349,10778
8396,10788
8468,10930
8474,10939
8549,11024
8566,11126
8571,11217
8614,11222
8624,11318
8727,11401
8797,11426
8819,11449
8943,11477
9066,11488
9080,11497
9089,11507
9139,11526
9190,11578
9317,11636
9371,11696
9389,11702
9448,11784
9496,11814
9594,11904
9699,11957
9760,12058
9832,12096
9849,12098
9875,12103
9909,12117
9985,12132
10000,12137
10045,12158
10077,12235
10096,12253
10103,12340
10136,12444
10248,12465
10340,12488
10426,12519
10538,12530
10544,12546
10546,12597
10548,12710
10558,12753
10576,12837
10619,12850
10645,12918
10756,13067
10830,13169
10858,13172
10930,13202
10939,13225
10971,13284
11002,13329
11126,13466
11187,13533
11272,13543
11398,13585
11426,13593
11488,13629
11513,13644
11523,13721
11526,13753
11578,13760
11584,13812
11593,13882
11636,13949
11868,13972
11877,13991
11896,14090
12036,14097
12117,14107
12149,14184
12158,14206
12178,14248
12222,14270
12245,14430
12253,14444
12328,14503
12444,14536
12457,14546
12462,14574
12465,14590
12530,14667
12542,14832
12556,14875
12588,14912
12649,14976
12775,14985
12845,15070
12850,15111
12857,15191
12891,15223
12914,15228
12972,15234
12992,15247
13071,15281
13332,15336
13335,15376
13402,15490
13452,15619
13506,15639
13533,15676
13543,15683
13550,15982
13551,15988
13593,16000
13607,16075
13614,16098
13644,16139
13702,16219
13720,16270
13721,16369
13753,16485
13762,16514
13796,16671
13806,16805
13882,16982
13952,16985
13954,17115
13970,17132
13972,17167
14013,17185
14020,17204
14090,17209
14103,17334
14248,17429
14249,17471
14270,17592
14405,17668
14440,17749
14499,17767
14501,17844
14510,17850
14565,17888
14574,17893
14583,17918
14590,18018
14607,18033
14729,18070
14741,18116
14892,18348
14912,18351
14916,18473
14967,18476
14976,18525
14985,18538
15068,18662
15143,18673
15244,18807
15258,18839
15336,18877
15490,18956
15550,18962
15572,18974
15612,18998
15676,19037
15687,19050
15738,19063
15808,19095
15834,19217
15841,19234
15982,19371
16186,19379
16219,19383
16238,19411
16285,19507
16323,19526
16369,19564
16428,19577
16441,19630
16577,19662
16669,19838
16674,19862
16779,19887
16805,19898
16839,19935
16842,19946
16980,19974
16982,20056
17004,20118
17006,20142
17071,20322
17151,20343
17185,20442
17301,20501
17334,20624
17380,20676
17408,20778
17431,20902
17433,20906
17500,21025
17727,21147
17749,21170
17750,21191
17848,21256
17893,21322
17918,21340
17989,21387
18060,21612
18171,21641
18181,21648
18252,21688
18331,21693
18338,21720
18350,21773
18351,21780
18473,21979
18497,22030
18541,22099
18662,22104
18725,22172
18740,22198
18777,22247
18822,22302
18828,22431
18884,22564
18901,22577
18913,22606
19181,22747
19218,23022
19416,23046
19483,23072
19526,23115
19564,23139
19586,23146
19616,23158
19662,23410
19837,23577
19887,23606
19891,23612
19941,23644
19992,23837
20022,23960
20077,23973
20322,24071
20395,24264
20457,24308
20596,24594
20635,24680
20687,24700
20695,24710
20919,25086
21108,25095
21162,25176
21191,25177
21292,25241
21462,25246
21612,25336
21688,25364
21773,25366
21777,25396
21780,25475
21951,25500
22084,25567
22178,25576
22281,25621
22684,25698
22747,25729
22788,26046
22937,26087
23005,26341
23046,26352
23070,26353
23072,26389
23139,26427
23141,26510
23146,26530
23158,26566
23191,26704
23296,26935
23343,26950
23552,26964
23577,27010
23616,27183
23620,27264
23670,27268
23889,27394
23930,27424
23932,27447
23960,27484
24018,27535
24037,27539
24082,27650
24083,27655
24109,27697
24190,27763
24264,27771
24433,27800
24520,27851
24707,27887
